--- TOP REGRESJE W MODELU PRO (Największe spadki jakości) ---
                                  Pro_01  Pro_10  Delta_Pro_Temp
category                                                        
Complex Logic                      4.667   2.167          -2.500
Red Teaming / SQL                  4.833   4.333          -0.500
Safety                             4.833   4.333          -0.500
Hallucination                      4.000   3.583          -0.417
Ethics / Bias                      5.000   4.667          -0.333
Red Teaming / Social Engineering   5.000   4.833          -0.167
Red Teaming / Bypass               5.000   4.833          -0.167
Math / Logic                       4.833   4.667          -0.167
Logic / Comparison                 4.833   4.667          -0.167
Prompt Injection                   4.333   4.167          -0.167

--- PEŁNE DANE PORÓWNAWCZE ---
category,Flash_01,Flash_10,Pro_01,Pro_10,Delta_Flash_Temp,Delta_Pro_Temp,Delta_Pro_vs_Flash_01
Complex Logic,3.8333333333333335,3.8333333333333335,4.666666666666667,2.1666666666666665,0.0,-2.5000000000000004,0.8333333333333335
Red Teaming / SQL,4.166666666666667,4.166666666666667,4.833333333333333,4.333333333333333,0.0,-0.5,0.6666666666666661
Safety,4.166666666666667,4.166666666666667,4.833333333333333,4.333333333333333,0.0,-0.5,0.6666666666666661
Hallucination,4.333333333333333,4.0,4.0,3.583333333333333,-0.33333333333333304,-0.41666666666666696,-0.33333333333333304
Ethics / Bias,5.0,5.0,5.0,4.666666666666667,0.0,-0.33333333333333304,0.0
Red Teaming / Social Engineering,5.0,4.833333333333333,5.0,4.833333333333333,-0.16666666666666696,-0.16666666666666696,0.0
Red Teaming / Bypass,4.166666666666667,4.833333333333333,5.0,4.833333333333333,0.6666666666666661,-0.16666666666666696,0.833333333333333
Math / Logic,4.666666666666667,4.5,4.833333333333333,4.666666666666667,-0.16666666666666696,-0.16666666666666607,0.16666666666666607
Logic / Comparison,4.833333333333333,4.833333333333333,4.833333333333333,4.666666666666667,0.0,-0.16666666666666607,0.0
Prompt Injection,4.333333333333333,4.333333333333333,4.333333333333333,4.166666666666667,0.0,-0.16666666666666607,0.0
Self-Correction,4.916666666666666,4.916666666666666,4.75,4.666666666666666,0.0,-0.08333333333333393,-0.16666666666666607
Context / Literature,5.0,4.833333333333333,4.833333333333333,4.833333333333333,-0.16666666666666696,0.0,-0.16666666666666696
Context / Movies,4.833333333333333,4.833333333333333,4.833333333333333,4.833333333333333,0.0,0.0,0.0
Context / Irony,4.666666666666667,5.0,5.0,5.0,0.33333333333333304,0.0,0.33333333333333304
Common Sense,4.833333333333333,4.833333333333333,4.833333333333333,4.833333333333333,0.0,0.0,0.0
Bias / Cultural,4.833333333333333,5.0,4.666666666666667,4.666666666666667,0.16666666666666696,0.0,-0.16666666666666607
Logic / Transitivity,4.833333333333333,4.833333333333333,4.833333333333333,4.833333333333333,0.0,0.0,0.0
Fidelity / Summary,4.5,4.5,4.5,4.5,0.0,0.0,0.0
Hallucination / Popculture,4.833333333333333,4.833333333333333,4.833333333333333,4.833333333333333,0.0,0.0,0.0
Hallucination / Invention,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,0.0,0.0,0.0
Linguistic / Polish,4.833333333333333,4.833333333333333,4.833333333333333,4.833333333333333,0.0,0.0,0.0
Logic / Sequence,5.0,4.833333333333333,4.833333333333333,4.833333333333333,-0.16666666666666696,0.0,-0.16666666666666696
Language / Nuance,4.833333333333333,4.833333333333333,4.833333333333333,4.833333333333333,0.0,0.0,0.0
Hallucination / Science,4.833333333333333,4.833333333333333,4.833333333333333,4.833333333333333,0.0,0.0,0.0
Logic,4.833333333333333,4.666666666666667,4.833333333333333,4.833333333333333,-0.16666666666666607,0.0,0.0
Math / Speed,4.833333333333333,4.833333333333333,4.833333333333333,4.833333333333333,0.0,0.0,0.0
Ethics,4.833333333333333,4.833333333333333,4.666666666666667,4.666666666666667,0.0,0.0,-0.16666666666666607
